Kód obce,Název obce,Voliči,Vydané obálky,Platné hlasy,-,ALIANCE NÁRODNÍCH SIL,ANO 2011,Aliance pro budoucnost,Hnutí Prameny,Komunistická str.Čech a Moravy,Koruna Česká (monarch.strana),Moravané,Otevřeme ČR normálnímu životu,PIRÁTI a STAROSTOVÉ,PŘÍSAHA Roberta Šlachty,SENIOŘI 21,"SPOLU – ODS, KDU-ČSL, TOP 09",Strana zelených,Svoboda a př. demokracie (SPD),Trikolora Svobodní Soukromníci,Urza.cz: Nechceme vaše hlasy,VOLNÝ blok,Česká str.sociálně demokrat.,Švýcarská demokracie
598925,Albrechtice,3097,2026,2013,0,1,784,1,0,81,0,5,5,160,81,3,359,12,298,35,2,38,143,5
599051,Bohumín,17095,9460,9392,0,8,3362,10,10,371,12,29,34,944,408,9,1435,67,1503,233,10,178,731,38
598933,Český Těšín,18976,11099,11025,0,8,3614,9,11,374,13,43,38,1084,582,18,2549,98,1449,295,11,222,569,38
598941,Dětmarovice,3577,2285,2266,0,1,841,3,2,113,3,16,5,163,120,1,337,22,393,54,4,60,123,5
598968,Dolní Lutyně,4284,2745,2727,0,0,1024,3,5,108,8,11,10,255,129,5,442,15,407,79,3,59,156,8
568864,Doubrava,988,546,536,0,0,230,0,0,18,0,5,3,32,37,1,51,3,101,11,1,16,26,1
555088,Havířov,58447,32106,31880,0,21,12161,45,50,1550,36,138,94,3274,1376,23,4954,310,4469,712,29,639,1920,79
598178,Horní Bludovice,2007,1448,1447,0,1,422,3,0,96,0,6,4,177,65,2,335,9,178,28,3,31,82,5
552739,Horní Suchá,3577,1971,1952,0,0,707,2,1,119,3,6,3,200,118,1,294,15,289,32,0,46,111,5
555291,Chotěbuz,1022,705,691,0,1,195,1,0,8,0,2,0,72,23,0,178,8,125,19,1,9,47,2
598917,Karviná,42196,21193,21014,0,10,9470,20,23,953,30,67,41,1652,939,17,2384,158,3055,314,12,451,1373,45
599069,Orlová,23573,12116,12021,0,11,4873,24,7,570,14,46,37,970,596,9,1330,82,2224,233,10,242,716,27
599077,Petrovice u Karviné,3928,2548,2533,0,1,977,2,1,94,4,7,5,197,142,1,484,19,341,63,3,48,139,5
599085,Petřvald,5890,3503,3472,0,6,1246,8,9,206,8,20,13,308,147,1,512,21,538,99,1,79,244,6
599107,Rychvald,6043,3790,3750,0,4,1334,3,3,197,2,14,8,372,178,3,604,27,582,92,4,89,223,11
599140,Stonava,1429,915,910,0,0,395,0,1,37,0,0,1,79,36,0,122,8,148,16,0,17,48,2
599158,Těrlicko,3817,2594,2578,0,2,922,2,5,124,3,16,12,245,112,3,571,22,294,44,4,41,151,5
